"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
<<<<<<< HEAD
"1","Libya","LBY",3.95383389839196,3.70158450704228,NA,9.43,NA,6.85048459907861,5.57142857142857,2.25,10,2,3,7.8000415688963,8.28463110470094,0,0,0,0,0,10,1,1,10,0,0,0,0,10,2,2,10,0,0,0,0,10,2,2,9.41275730060007,NA,6.08387766581371,5.3851648071345,0,10,2,3,8.86,3.42105263157895,9.99938469111494,4.14285714285714,4.5,10,1,2,10,NA,7,3.70158450704228,0,10,2,2.5,6.08406484765102,0.624896241107912,NA,0.925609846706926,NA,NA,NA,0,0.4
"2","Sudan","SDN",2.74647102624337,3.26144366197185,NA,9.75,10,6.63072183098592,9.21428571428572,2.66666666666667,10,4,4.5,7.5570530376245,7.8424544888051,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,9.74679434480896,10,5.71090506134698,9.18072515031979,0,10,4,4.5,9.5,10,10,8.42857142857143,5.33333333333333,10,3,4,10,10,10,3.26144366197185,0,10,4,4,5.71090506134697,1.15667741284497,NA,1.73205080756888,NA,0.157134840263677,0.606091526731326,0,0.2
"3","Afghanistan","AFG",1.51754699532851,6.6505281690141,NA,8.02674968251719,10,6.76514840643666,8.5,8.25,5,4,5,2.85570955279429,7.780423744909,0,10,0,0,0,0,1,1,0,10,0,10,10,0,3,3,5,10,0,10,10,0,3,3.5,7.780423744909,10,6.76417734556728,8.36660026534076,8.15475321515004,0,4,4.5,10,10,6.87976864385922,10,9.5,0,3,3.5,6.05349936503438,10,7,6.6505281690141,7,10,2,3,8.15507704992056,1.71400096108059,NA,0.866025403784439,1.4142135623731,0,NA,0,0.2
"4","Mozambique","MOZ",2.41127917781912,4.8899647887324,NA,9.15166393889798,10,5.90640252727292,9.58930015563965,4,10,4,4.5,8.36231326737079,6.81464230869842,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,9.11225980632464,10,5.81828541220234,9.58050119319407,0,10,4,4.5,10,10,6.92284026581344,10,8,10,4,4.5,8.30332787779596,10,9.1786003112793,4.8899647887324,0,10,2,3,6.99282831816455,0.94677196804207,NA,0.875298014269346,NA,0.346410161513775,NA,0,0.1
"5","Niger","NER",0.18732444306531,4.18573943661971,NA,8.73384615384616,10,4.45288694695864,8.5,2.91666666666667,10,4,4,8.0434626124664,2.56807522463606,0,10,0,0,0,10,2,2,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.64158105192118,10,4.44486606886128,8.36660026534076,0,10,4,4,10,10,4.72003445729757,10,5.83333333333333,10,4,4,7.46769230769231,10,7,4.18573943661971,0,10,2,3,6.46972907981448,1.49906893908341,NA,0.900409897865533,NA,0.249567099242311,NA,0,0.2
"6","Algeria","DZA",2.12623837287381,8.63116197183098,NA,7.85107754672488,1.98325358851675,7.9554406954897,6.55071428571429,3.08333333333333,0,2,2.5,1.71402564962216,7.36077611607612,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,5,0,10,0,0,0,1,1.5,7.71994813889405,1.72235512512185,7.92669145458263,5.83401356578079,0,0,2,2.5,9.28,2.96650717703349,7.27971941914842,3.57142857142857,6.16666666666667,0,0,1,6.42215509344975,1,9.53000000000001,8.63116197183098,0,0,0,1,2.93788392756266,0.916902759481393,NA,NA,NA,NA,NA,0,0.3
"7","Ethiopia","ETH",0.770903068084418,6.43045774647888,NA,7.81768052708409,10,8.05801745310653,7.92857142857143,2.83333333333333,10,5,5,8.95489447005523,7.67161068757284,0,10,0,0,0,10,2,2,0,10,0,10,0,10,3,3,5,10,0,10,0,10,3,3.5,7.57510859843869,10,7.8919385879473,7.87400787401181,0,10,5,5,9.75,10,9.68557715973419,8.85714285714286,5.66666666666667,10,2,3.5,5.88536105416818,10,7,6.43045774647888,0,10,2,2.5,8.01901349698258,1.70097271583734,NA,0.892027384479194,NA,0.346410161513775,NA,0,0.1
"8","Iraq","IRQ",2.52993833562136,8.85123239436621,NA,8.91166,3.45454545454546,8.89614290158872,2.85714285714285,3.83333333333333,10,3,3,9.69953547780891,7.59645496951204,0,0,0,0,0,10,1,1,10,0,10,0,0,10,3,3,10,0,10,0,0,10,3,3,8.9113718809171,2.43086217402199,8.89602953973448,0,0,10,3,3,8.84,5.90909090909091,8.94105340881123,5.71428571428571,7.66666666666667,10,1,2.5,8.98332,1,0,8.85123239436621,0,10,1,2,9.40809884852738,0.841680251037309,NA,1.00028881652817,NA,NA,NA,0,0.3
"9","South Sudan","SSD",0.114028901768414,NA,NA,8.72615384615385,10,NA,10,2.5,10,4,4,10,8.18707265456631,0,10,0,10,0,10,3,3,10,10,0,10,0,10,4,4,10,10,0,10,0,10,4,4,8.6326749575712,10,NA,10,0,10,4,4,10,10,NA,10,5,10,4,4,7.45230769230769,10,10,NA,0,10,3,3.5,10,2.41623241596291,NA,0.867608618137497,NA,0.157134840263677,NA,0,0.2
